[2026-06-17 15:26:20] PROTO: TCP | SRC: 185.220.101.4:3389 -> DST: 192.168.1.1:443 | LEN: 1222 | FLAGS: A
[2026-06-17 15:26:37] PROTO: DNS | SRC: 185.220.101.4:5729 -> DST: 192.168.1.100:53 | LEN: 1466 | FLAGS: 
[2026-06-17 15:26:38] PROTO: UDP | SRC: 172.16.5.25:8080 -> DST: 10.0.0.1:445 | LEN: 986 | FLAGS: 
[2026-06-17 15:26:38] PROTO: DNS | SRC: 192.168.1.15:65306 -> DST: 8.8.4.4:53 | LEN: 698 | FLAGS: 
[2026-06-17 15:26:38] PROTO: ICMP | SRC: 192.168.1.10:None -> DST: 10.0.0.1:None | LEN: 301 | FLAGS: 
[2026-06-17 15:26:39] PROTO: UDP | SRC: 10.0.0.12:12345 -> DST: 192.168.1.1:53 | LEN: 1413 | FLAGS: 
[2026-06-17 15:26:39] PROTO: UDP | SRC: 192.168.1.10:53 -> DST: 10.0.0.1:23 | LEN: 660 | FLAGS: 
[2026-06-17 15:26:39] PROTO: DNS | SRC: 192.168.1.10:11786 -> DST: 192.168.1.100:53 | LEN: 1240 | FLAGS: 
[2026-06-17 15:26:40] PROTO: ICMP | SRC: 172.16.5.25:None -> DST: 8.8.4.4:None | LEN: 190 | FLAGS: 
[2026-06-17 15:26:40] PROTO: UDP | SRC: 192.168.1.15:8080 -> DST: 8.8.4.4:443 | LEN: 351 | FLAGS: 
[2026-06-17 15:26:40] PROTO: UDP | SRC: 8.8.8.8:3389 -> DST: 192.168.1.100:80 | LEN: 319 | FLAGS: 
[2026-06-17 15:26:41] PROTO: UDP | SRC: 10.0.0.12:3389 -> DST: 192.168.1.1:53 | LEN: 759 | FLAGS: 
[2026-06-17 15:26:41] PROTO: UDP | SRC: 10.0.0.4:12345 -> DST: 8.8.4.4:21 | LEN: 633 | FLAGS: 
[2026-06-17 15:26:41] PROTO: DNS | SRC: 192.168.1.15:45819 -> DST: 8.8.4.4:53 | LEN: 228 | FLAGS: 
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:64976 -> DST: 10.0.0.254:1000 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:55292 -> DST: 10.0.0.254:1001 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:41913 -> DST: 10.0.0.254:1002 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:3598 -> DST: 10.0.0.254:1003 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:46291 -> DST: 10.0.0.254:1004 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:43944 -> DST: 10.0.0.254:1005 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:9661 -> DST: 10.0.0.254:1006 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:62426 -> DST: 10.0.0.254:1007 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:14682 -> DST: 10.0.0.254:1008 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:37447 -> DST: 10.0.0.254:1009 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:55851 -> DST: 10.0.0.254:1010 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:30119 -> DST: 10.0.0.254:1011 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:13492 -> DST: 10.0.0.254:1012 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:3714 -> DST: 10.0.0.254:1013 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:49376 -> DST: 10.0.0.254:1014 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:8630 -> DST: 10.0.0.254:1015 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:42] PROTO: TCP | SRC: 185.220.101.4:51121 -> DST: 10.0.0.254:1016 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:43] PROTO: TCP | SRC: 185.220.101.4:35253 -> DST: 10.0.0.254:1017 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:43] PROTO: TCP | SRC: 185.220.101.4:16630 -> DST: 10.0.0.254:1018 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:43] PROTO: TCP | SRC: 185.220.101.4:62327 -> DST: 10.0.0.254:1019 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:43] PROTO: TCP | SRC: 185.220.101.4:21383 -> DST: 10.0.0.254:1020 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:43] PROTO: TCP | SRC: 185.220.101.4:47561 -> DST: 10.0.0.254:1021 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:43] PROTO: TCP | SRC: 185.220.101.4:28192 -> DST: 10.0.0.254:1022 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:43] PROTO: TCP | SRC: 185.220.101.4:3347 -> DST: 10.0.0.254:1023 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:43] PROTO: TCP | SRC: 185.220.101.4:47440 -> DST: 10.0.0.254:1024 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:44] PROTO: DNS | SRC: 192.168.1.10:25134 -> DST: 10.0.0.254:53 | LEN: 592 | FLAGS: 
[2026-06-17 15:26:44] PROTO: UDP | SRC: 192.168.1.10:3389 -> DST: 8.8.4.4:3389 | LEN: 979 | FLAGS: 
[2026-06-17 15:26:44] PROTO: DNS | SRC: 185.220.101.4:7919 -> DST: 192.168.1.100:53 | LEN: 900 | FLAGS: 
[2026-06-17 15:26:45] PROTO: ICMP | SRC: 10.0.0.12:None -> DST: 192.168.1.100:None | LEN: 1072 | FLAGS: 
[2026-06-17 15:26:45] PROTO: ARP | SRC: 185.220.101.4:None -> DST: 10.0.0.1:None | LEN: 615 | FLAGS: 
[2026-06-17 15:26:45] PROTO: DNS | SRC: 10.0.0.4:9431 -> DST: 192.168.1.1:53 | LEN: 894 | FLAGS: 
[2026-06-17 15:26:46] PROTO: TCP | SRC: 172.16.5.25:445 -> DST: 8.8.4.4:21 | LEN: 365 | FLAGS: S
[2026-06-17 15:26:46] PROTO: UDP | SRC: 10.0.0.12:53 -> DST: 10.0.0.254:8080 | LEN: 760 | FLAGS: 
[2026-06-17 15:26:46] PROTO: ARP | SRC: 185.220.101.4:None -> DST: 192.168.1.1:None | LEN: 591 | FLAGS: 
[2026-06-17 15:26:46] PROTO: DNS | SRC: 8.8.8.8:63809 -> DST: 192.168.1.100:53 | LEN: 1218 | FLAGS: 
[2026-06-17 15:26:47] PROTO: UDP | SRC: 192.168.1.10:12345 -> DST: 10.0.0.254:53 | LEN: 1124 | FLAGS: 
[2026-06-17 15:26:47] PROTO: TCP | SRC: 192.168.1.10:8080 -> DST: 8.8.4.4:445 | LEN: 998 | FLAGS: S
[2026-06-17 15:26:47] PROTO: TCP | SRC: 8.8.8.8:8080 -> DST: 192.168.1.100:8080 | LEN: 889 | FLAGS: A
[2026-06-17 15:26:48] PROTO: DNS | SRC: 192.168.1.10:4349 -> DST: 192.168.1.1:53 | LEN: 1186 | FLAGS: 
[2026-06-17 15:26:48] PROTO: DNS | SRC: 10.0.0.12:1602 -> DST: 8.8.4.4:53 | LEN: 474 | FLAGS: 
[2026-06-17 15:26:48] PROTO: UDP | SRC: 172.16.5.25:22 -> DST: 192.168.1.100:12345 | LEN: 1463 | FLAGS: 
[2026-06-17 15:26:49] PROTO: ICMP | SRC: 192.168.1.10:None -> DST: 10.0.0.1:None | LEN: 448 | FLAGS: 
[2026-06-17 15:26:49] PROTO: DNS | SRC: 172.16.5.25:47512 -> DST: 192.168.1.1:53 | LEN: 1265 | FLAGS: 
[2026-06-17 15:26:49] PROTO: TCP | SRC: 10.0.0.4:8080 -> DST: 192.168.1.1:12345 | LEN: 725 | FLAGS: A
[2026-06-17 15:26:50] PROTO: ICMP | SRC: 10.0.0.12:None -> DST: 10.0.0.254:None | LEN: 439 | FLAGS: 
[2026-06-17 15:26:50] PROTO: ARP | SRC: 10.0.0.12:None -> DST: 10.0.0.1:None | LEN: 876 | FLAGS: 
[2026-06-17 15:26:50] PROTO: ARP | SRC: 8.8.8.8:None -> DST: 10.0.0.254:None | LEN: 562 | FLAGS: 
[2026-06-17 15:26:51] PROTO: UDP | SRC: 192.168.1.10:8080 -> DST: 8.8.4.4:8080 | LEN: 78 | FLAGS: 
[2026-06-17 15:26:51] PROTO: DNS | SRC: 192.168.1.10:26374 -> DST: 10.0.0.1:53 | LEN: 219 | FLAGS: 
[2026-06-17 15:26:51] PROTO: ARP | SRC: 10.0.0.12:None -> DST: 192.168.1.1:None | LEN: 1044 | FLAGS: 
[2026-06-17 15:26:52] PROTO: UDP | SRC: 192.168.1.10:3389 -> DST: 10.0.0.1:3389 | LEN: 1419 | FLAGS: 
[2026-06-17 15:26:52] PROTO: UDP | SRC: 192.168.1.10:23 -> DST: 192.168.1.100:23 | LEN: 411 | FLAGS: 
[2026-06-17 15:26:52] PROTO: ARP | SRC: 10.0.0.4:None -> DST: 10.0.0.1:None | LEN: 211 | FLAGS: 
[2026-06-17 15:26:52] PROTO: DNS | SRC: 185.220.101.4:51818 -> DST: 192.168.1.100:53 | LEN: 712 | FLAGS: 
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:61585 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:30931 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:8903 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:19061 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:29807 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:49730 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:43887 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:17575 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:23654 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:60409 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:32308 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:40265 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:18798 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:10662 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:42483 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:61315 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:15002 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:39221 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:3103 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:39437 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:39795 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:40431 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:8322 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:33149 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:28852 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:64674 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:16763 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:39981 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:52503 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:18396 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:19425 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:31412 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:28405 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:46743 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:21678 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:31038 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:4494 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:49517 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:6375 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:53371 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:13566 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:47965 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:12462 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:30594 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:63619 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:30933 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:53] PROTO: TCP | SRC: 185.220.101.99:26086 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:54] PROTO: TCP | SRC: 185.220.101.99:54160 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:54] PROTO: TCP | SRC: 185.220.101.99:31356 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:54] PROTO: TCP | SRC: 185.220.101.99:26578 -> DST: 192.168.1.1:80 | LEN: 60 | FLAGS: S
[2026-06-17 15:26:54] PROTO: UDP | SRC: 10.0.0.4:8080 -> DST: 8.8.4.4:53 | LEN: 318 | FLAGS: 
[2026-06-17 15:26:54] PROTO: TCP | SRC: 10.0.0.12:21 -> DST: 192.168.1.100:8080 | LEN: 1021 | FLAGS: S
[2026-06-17 15:26:55] PROTO: DNS | SRC: 8.8.8.8:1972 -> DST: 10.0.0.1:53 | LEN: 1224 | FLAGS: 
[2026-06-17 15:26:55] PROTO: ARP | SRC: 185.220.101.4:None -> DST: 192.168.1.100:None | LEN: 456 | FLAGS: 
[2026-06-17 15:26:55] PROTO: UDP | SRC: 192.168.1.15:21 -> DST: 10.0.0.1:22 | LEN: 792 | FLAGS: 
[2026-06-17 15:26:56] PROTO: UDP | SRC: 185.220.101.4:445 -> DST: 8.8.4.4:21 | LEN: 1322 | FLAGS: 
[2026-06-17 15:26:56] PROTO: TCP | SRC: 10.0.0.12:8080 -> DST: 8.8.4.4:3389 | LEN: 760 | FLAGS: A
[2026-06-17 15:26:57] PROTO: ARP | SRC: 192.168.1.10:None -> DST: 192.168.1.100:None | LEN: 1073 | FLAGS: 
[2026-06-17 15:26:57] PROTO: DNS | SRC: 10.0.0.12:47536 -> DST: 10.0.0.254:53 | LEN: 457 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
[2026-06-17 15:26:57] PROTO: ICMP | SRC: 192.168.1.15:None -> DST: 10.0.0.1:None | LEN: 74 | FLAGS: 
